New Mexico State Aggies,/college-basketball/teams/team-page.cfm/team/new-mexico-state
Seattle University Red Hawks,/college-basketball/teams/team-page.cfm/team/seattle-university
Texas Rio Grande Vaqueros,/college-basketball/teams/team-page.cfm/team/texas-rio-grande-valley
Missouri-Kansas City Kangaroos,/college-basketball/teams/team-page.cfm/team/missouri-kansas-city
Utah Valley Wolverines,/college-basketball/teams/team-page.cfm/team/utah-valley
Davidson College Wildcats,/college-basketball/teams/team-page.cfm/team/davidson-college
Dayton Flyers,/college-basketball/teams/team-page.cfm/team/dayton
Duquesne Dukes,/college-basketball/teams/team-page.cfm/team/duquesne
Fordham Rams,/college-basketball/teams/team-page.cfm/team/fordham
George Mason Patriots,/college-basketball/teams/team-page.cfm/team/george-mason
George Washington Colonials,/college-basketball/teams/team-page.cfm/team/george-washington
La Salle Explorers,/college-basketball/teams/team-page.cfm/team/la-salle-university
Massachusetts Minutemen,/college-basketball/teams/team-page.cfm/team/massachusetts-amherst
Rhode Island Rams,/college-basketball/teams/team-page.cfm/team/rhode-island
Richmond Spiders,/college-basketball/teams/team-page.cfm/team/richmond
Saint Louis Billikens,/college-basketball/teams/team-page.cfm/team/saint-louis
Saint Josephs-Pennsylvania Hawks,/college-basketball/teams/team-page.cfm/team/saint-josephs
Saint Bonaventure Bonnies,/college-basketball/teams/team-page.cfm/team/saint-bonaventure
Virginia Commonwealth Rams,/college-basketball/teams/team-page.cfm/team/virginia-commonwealth
Baylor Bears,/college-basketball/teams/team-page.cfm/team/baylor
Iowa State Cyclones,/college-basketball/teams/team-page.cfm/team/iowa-state
Kansas Jayhawks,/college-basketball/teams/team-page.cfm/team/kansas
Kansas State Wildcats,/college-basketball/teams/team-page.cfm/team/kansas-state
Oklahoma Sooners,/college-basketball/teams/team-page.cfm/team/oklahoma
Oklahoma State Cowboys,/college-basketball/teams/team-page.cfm/team/oklahoma-state
Texas Longhorns,/college-basketball/teams/team-page.cfm/team/texas-austin
Texas Christian Horned Frogs,/college-basketball/teams/team-page.cfm/team/texas-christian
Texas Tech Red Raiders,/college-basketball/teams/team-page.cfm/team/texas-tech
West Virginia Mountaineers,/college-basketball/teams/team-page.cfm/team/west-virginia
Campbell Fighting Camels,/college-basketball/teams/team-page.cfm/team/campbell
Charleston Southern Buccaneers,/college-basketball/teams/team-page.cfm/team/charleston-southern
Gardner Webb Runnin Bulldogs,/college-basketball/teams/team-page.cfm/team/gardner-webb
High Point Panthers,/college-basketball/teams/team-page.cfm/team/high-point
Liberty University Flames,/college-basketball/teams/team-page.cfm/team/liberty
Longwood Lancers,/college-basketball/teams/team-page.cfm/team/longwood
Presbyterian Blue Hose,/college-basketball/teams/team-page.cfm/team/presbyterian-college
Radford Highlanders,/college-basketball/teams/team-page.cfm/team/radford
North Carolina-Asheville Bulldogs,/college-basketball/teams/team-page.cfm/team/north-carolina-asheville
Winthrop Eagles,/college-basketball/teams/team-page.cfm/team/winthrop
College of Charleston Cougars,/college-basketball/teams/team-page.cfm/team/college-of-charleston-south-carolina
Delaware Blue Hens,/college-basketball/teams/team-page.cfm/team/delaware
Drexel Dragons,/college-basketball/teams/team-page.cfm/team/drexel
Elon Phoenix,/college-basketball/teams/team-page.cfm/team/elon-university
Hofstra Pride,/college-basketball/teams/team-page.cfm/team/hofstra
James Madison Dukes,/college-basketball/teams/team-page.cfm/team/james-madison
Northeastern Huskies,/college-basketball/teams/team-page.cfm/team/northeastern-university
Towson Tigers,/college-basketball/teams/team-page.cfm/team/towson
North Carolina-Wilmington Seahawks,/college-basketball/teams/team-page.cfm/team/north-carolina-wilmington
William & Mary Tribe,/college-basketball/teams/team-page.cfm/team/college-of-william-mary
Brown Bears,/college-basketball/teams/team-page.cfm/team/brown
Columbia Lions,/college-basketball/teams/team-page.cfm/team/columbia
Cornell Big Red,/college-basketball/teams/team-page.cfm/team/cornell
Dartmouth College Big Green,/college-basketball/teams/team-page.cfm/team/dartmouth-college
Harvard Crimson,/college-basketball/teams/team-page.cfm/team/harvard
Pennsylvania Quakers,/college-basketball/teams/team-page.cfm/team/pennsylvania
Princeton Tigers,/college-basketball/teams/team-page.cfm/team/princeton
Yale Bulldogs,/college-basketball/teams/team-page.cfm/team/yale
Bethune Cookman Wildcats,/college-basketball/teams/team-page.cfm/team/bethune-cookman-college
Coppin State Eagles,/college-basketball/teams/team-page.cfm/team/coppin-state
Delaware State Hornets,/college-basketball/teams/team-page.cfm/team/delaware-state
